Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
B1,22/10/00,Club Brugge,St Truiden,5,0,H,2,0,H,1.12,6,12,1.1,7,14,1.14,5.5,13,1.15,6,10
B1,22/10/00,Mechelen,Aalst,4,1,H,1,1,D,1.91,3.3,3.25,1.9,3,3.1,1.9,3.3,3.25,1.65,3.55,4
B1,27/10/00,Lierse,Mouscron,1,4,A,0,3,A,1.85,3.25,3.75,1.75,3.2,3.4,1.75,3.4,3.8,1.75,3.5,3.6
B1,28/10/00,Anderlecht,Lokeren,8,0,H,3,0,H,1.2,5.3,9,1.2,4.7,9,1.2,5.5,9,1.2,5.5,8
B1,28/10/00,Beveren,Germinal,2,1,H,1,1,D,2.4,3.1,2.55,2.3,3,2.4,2.25,3.4,2.6,2.3,3.4,2.45
B1,28/10/00,Charleroi,Louvieroise,2,1,H,2,0,H,1.4,4,6.1,1.35,3.8,6.2,1.36,4,7,1.4,4,5.8
B1,28/10/00,Genk,Gent,1,1,D,0,0,D,1.95,3.2,3.3,1.9,3,3.1,1.8,3.4,3.6,1.8,3.5,3.35
B1,28/10/00,St Truiden,Mechelen,1,0,H,0,0,D,1.85,3.15,3.9,1.9,3,3.1,1.83,3.5,3.4,1.85,3.5,3.2
B1,29/10/00,Antwerp,Standard,1,2,A,1,0,H,3.5,3.3,1.9,3.2,3.1,1.85,3.25,3.5,1.85,,,
B1,29/10/00,Harelbeke,Aalst,2,4,A,1,1,D,1.8,3.1,4.15,1.6,3.3,4,1.62,3.6,4.33,1.65,3.55,4
B1,29/10/00,Westerlo,Club Brugge,0,2,A,0,0,D,3.75,3.15,1.85,3.3,3.1,1.8,4,3.6,1.67,3.85,3.65,1.65
B1,01/11/00,Antwerp,Genk,1,0,H,0,0,D,,,,2.6,3,2.2,2.5,3.3,2.3,2.45,3.35,2.3
B1,11/11/00,Gent,Harelbeke,2,1,H,1,0,H,1.47,3.6,5.8,1.35,3.8,6.2,1.4,3.6,7,1.35,4.2,6.2
B1,11/11/00,Germinal,Charleroi,0,2,A,0,0,D,2,3,3.4,1.9,3,3.1,1.83,3.4,3.4,1.85,3.4,3.3
B1,11/11/00,Mechelen,Westerlo,0,1,A,0,0,D,2.8,3.2,2.2,,,,2.75,3.4,2.1,2.8,3.4,2.05
B1,11/11/00,Lokeren,Lierse,2,0,H,1,0,H,2.45,3,2.6,2.35,3,2.35,2.4,3.4,2.4,2.5,3.5,2.2
B1,12/11/00,Aalst,St Truiden,4,1,H,1,1,D,2.05,3.2,3,2.2,3,2.6,2,3.4,2.9,2,3.45,2.85
B1,12/11/00,Club Brugge,Beveren,6,0,H,2,0,H,1.17,5.8,10,1.15,5.5,11,1.17,5.5,10,1.15,6,10
B1,12/11/00,Louvieroise,Antwerp,2,2,D,1,2,A,2.2,3.2,2.7,2.1,3,2.8,2.2,3.4,2.63,2.3,3.4,2.45
B1,12/11/00,Mouscron,Genk,2,0,H,0,0,D,1.85,3,3.9,1.7,3.2,3.6,1.8,3.3,3.6,1.7,3.5,3.75
B1,12/11/00,Standard,Anderlecht,1,1,D,0,0,D,2.5,3.6,2.2,2.35,3,2.35,2.4,3.3,2.4,2.4,3.25,2.5
B1,17/11/00,Charleroi,Club Brugge,0,4,A,0,1,A,3.2,3.4,1.9,2.8,3,2.1,3.25,3.3,1.91,3.4,3.5,1.8
